,Compound,DateTime,Neg,Neu,Pos,Source,Text,Tweets Ago
321,-0.4753,2017-12-02 15:26:52,0.838,0.162,0.0,CBSNews,"Hecklers yell ""Lock him up!"" as Michael Flynn leaves courthouse after making guilty plea https://t.co/NQnCgrtn6c ma… https://t.co/iHi6bABiw3",322
322,-0.7351,2017-12-02 15:26:52,0.754,0.246,0.0,CNN,"RT @hotfunkytown: On Friday, Michael Flynn pleaded guilty to lying to FBI agents about making contact with Russian Ambassador Kislyak durin…",323
323,0.3612,2017-12-02 15:26:50,0.828,0.0,0.172,BBCWorld,RT @RohingyaVision: #Myanmar #military Ransacked #Rohingyas ’ Ready #money to Rations https://t.co/WucEiTaDld @FortifyRights @IntlCrimCourt…,324
324,0.1027,2017-12-02 15:26:50,0.909,0.0,0.091,BBCWorld,"RT @SimpnMild: *hasnt used paint since 5th grade*

Me: are you fuckin kidding me https://t.co/2kZGxjZsAr",325
325,-0.6249,2017-12-02 15:26:49,0.806,0.194,0.0,BBCWorld,"RT @BBCWorld: Rohingya crisis: Why is it a big deal that Pope Francis used the 'R' word? 

https://t.co/Han1ULjkpN https://t.co/3U5stD3fEt",326
326,0.0,2017-12-02 15:26:48,1.0,0.0,0.0,BBCWorld,RT @BBCWorld: Microsoft is saying goodbye to Paint after 32 years https://t.co/1kXDubBwRB https://t.co/VS7hQKZ0Zk,327
327,0.0,2017-12-02 15:26:48,1.0,0.0,0.0,CBSNews,"RT @FaceTheNation: SUNDAY: We'll talk with @SenateMajLdr  Mitch McConnell about the Senate's passage of tax reform, the GOP's next steps, a…",328
328,0.1027,2017-12-02 15:26:47,0.909,0.0,0.091,BBCWorld,"RT @SimpnMild: *hasnt used paint since 5th grade*

Me: are you fuckin kidding me https://t.co/2kZGxjZsAr",329
329,-0.25,2017-12-02 15:26:47,0.714,0.168,0.117,BBCWorld,@BBCWorld He should probably make sure he isn't wearing any ripped jeans while he's in prison.,330
330,0.1027,2017-12-02 15:26:47,0.909,0.0,0.091,BBCWorld,"RT @SimpnMild: *hasnt used paint since 5th grade*

Me: are you fuckin kidding me https://t.co/2kZGxjZsAr",331
331,0.1027,2017-12-02 15:26:47,0.909,0.0,0.091,BBCWorld,"RT @SimpnMild: *hasnt used paint since 5th grade*

Me: are you fuckin kidding me https://t.co/2kZGxjZsAr",332
332,-0.2023,2017-12-02 15:26:46,0.778,0.133,0.089,CBSNews,RT @Shawtypepelina: Feds release arrest warrant for Jose Ines Garcia Zarate after pier shooting verdict https://t.co/xhchxCOTRN,333
333,0.5319,2017-12-02 15:26:45,0.724,0.0,0.276,CBSNews,RT @DublinHempCo: Older People Say YES to Cannabis: https://t.co/7nWbwiN06h? https://t.co/RsrOGZBqGl,334
334,0.1027,2017-12-02 15:26:43,0.909,0.0,0.091,BBCWorld,"RT @SimpnMild: *hasnt used paint since 5th grade*

Me: are you fuckin kidding me https://t.co/2kZGxjZsAr",335
335,0.1027,2017-12-02 15:26:41,0.909,0.0,0.091,BBCWorld,"RT @SimpnMild: *hasnt used paint since 5th grade*

Me: are you fuckin kidding me https://t.co/2kZGxjZsAr",336
336,0.1027,2017-12-02 15:26:40,0.909,0.0,0.091,BBCWorld,"RT @SimpnMild: *hasnt used paint since 5th grade*

Me: are you fuckin kidding me https://t.co/2kZGxjZsAr",337
337,0.1027,2017-12-02 15:26:40,0.909,0.0,0.091,BBCWorld,"RT @SimpnMild: *hasnt used paint since 5th grade*

Me: are you fuckin kidding me https://t.co/2kZGxjZsAr",338
338,0.1027,2017-12-02 15:26:39,0.909,0.0,0.091,BBCWorld,"RT @SimpnMild: *hasnt used paint since 5th grade*

Me: are you fuckin kidding me https://t.co/2kZGxjZsAr",339
339,-0.1027,2017-12-02 15:26:38,0.938,0.062,0.0,CBSNews,RT @EightBitBot: @haaretzcom @PoliticsUKTD US &amp; France aligning with Israeli hard right. Saudi's have Iran on back foot. It doesn't look go…,340
340,0.6369,2017-12-02 15:26:37,0.802,0.0,0.198,CBSNews,"@MSNBC @CBSNews  REMEMBER FOLKS, MARTHA STEWART IS A CONVICTED FELON BUT RETAINS ALL RIGHTS THAT ANY INNOCENT PERSO… https://t.co/301bJOKd9l",341
341,0.1027,2017-12-02 15:26:37,0.909,0.0,0.091,BBCWorld,"RT @SimpnMild: *hasnt used paint since 5th grade*

Me: are you fuckin kidding me https://t.co/2kZGxjZsAr",342
342,0.1027,2017-12-02 15:26:36,0.909,0.0,0.091,BBCWorld,"RT @SimpnMild: *hasnt used paint since 5th grade*

Me: are you fuckin kidding me https://t.co/2kZGxjZsAr",343
343,0.1027,2017-12-02 15:26:35,0.909,0.0,0.091,BBCWorld,"RT @SimpnMild: *hasnt used paint since 5th grade*

Me: are you fuckin kidding me https://t.co/2kZGxjZsAr",344
344,0.0,2017-12-02 15:26:34,1.0,0.0,0.0,CBSNews,@ShamefilledUSA @NHPolitico @_GenXChick77_ @SenSchumer https://t.co/PiDNDYY7DO,345
345,0.1027,2017-12-02 15:26:33,0.909,0.0,0.091,BBCWorld,"RT @SimpnMild: *hasnt used paint since 5th grade*

Me: are you fuckin kidding me https://t.co/2kZGxjZsAr",346
346,0.1027,2017-12-02 15:26:32,0.909,0.0,0.091,BBCWorld,"RT @SimpnMild: *hasnt used paint since 5th grade*

Me: are you fuckin kidding me https://t.co/2kZGxjZsAr",347
347,0.1027,2017-12-02 15:26:31,0.909,0.0,0.091,BBCWorld,"RT @SimpnMild: *hasnt used paint since 5th grade*

Me: are you fuckin kidding me https://t.co/2kZGxjZsAr",348
348,0.1027,2017-12-02 15:26:30,0.909,0.0,0.091,BBCWorld,"RT @SimpnMild: *hasnt used paint since 5th grade*

Me: are you fuckin kidding me https://t.co/2kZGxjZsAr",349
349,0.1027,2017-12-02 15:26:30,0.909,0.0,0.091,BBCWorld,"RT @SimpnMild: *hasnt used paint since 5th grade*

Me: are you fuckin kidding me https://t.co/2kZGxjZsAr",350
